Date,Close/Last,Volume,Open,High,Low
06/09/2021,$330.25,13727950,$335.74,$336.8,$330
06/08/2021,$333.68,14580460,$336.7,$338.2999,$332.24
06/07/2021,$336.58,20136710,$329.48,$337.69,$328.93
06/04/2021,$330.35,13289380,$325.9,$332.455,$325.18
06/03/2021,$326.04,12610790,$325.78,$327.375,$323.48
06/02/2021,$329.15,11654280,$330.38,$331.87,$327.1215
06/01/2021,$329.13,11765910,$330.15,$331.42,$326.64
05/28/2021,$328.73,12037430,$331,$332.8684,$328.33
05/27/2021,$332.75,20477730,$328,$333.78,$326.76
05/26/2021,$327.66,9686917,$328.35,$329.8299,$325.82
05/25/2021,$327.79,16436970,$327.08,$329.18,$324.8
05/24/2021,$324.63,16445360,$318.21,$325.95,$318.03
05/21/2021,$316.23,13600900,$319.29,$319.93,$315.8101
05/20/2021,$318.61,17320240,$313.58,$319.25,$313.16
05/19/2021,$313.59,19106240,$304.185,$314.66,$303.57
05/18/2021,$309.96,14522400,$315.59,$316.5,$309.81
05/17/2021,$315.46,15371050,$313.55,$315.68,$311.58
05/14/2021,$315.94,19245720,$309.54,$316.85,$309.08
05/13/2021,$305.26,18079160,$306.0833,$308.86,$302.7701
05/12/2021,$302.55,24641010,$301.13,$304.96,$298.19
05/11/2021,$306.53,18920090,$300.75,$306.84,$299.69
05/10/2021,$305.97,24239170,$314.35,$314.5786,$304.83
05/07/2021,$319.08,15916740,$322.38,$322.935,$318.75
05/06/2021,$320.02,19012240,$314.52,$320.24,$313.275
05/05/2021,$315.02,15577610,$318.19,$321.06,$314.49
05/04/2021,$318.36,24032560,$320.025,$322.19,$313.12
05/03/2021,$322.58,18719460,$326.17,$328.55,$321.84
04/30/2021,$325.08,26332420,$326.144,$329.82,$324.5
04/29/2021,$329.51,56526770,$330.12,$331.81,$321.61
04/28/2021,$307.1,33907210,$307.36,$310.92,$305.37
04/27/2021,$303.57,15309260,$304.28,$305.34,$301.11
04/26/2021,$303.04,16172590,$303.34,$305.8,$301.56
04/23/2021,$301.13,17559500,$298.76,$302.59,$297.15
04/22/2021,$296.52,16375350,$301.33,$302.92,$296.04
04/21/2021,$301.47,14863470,$301.945,$301.98,$297.39
04/20/2021,$302.65,16796440,$301.99,$305.1,$297.21
04/19/2021,$302.24,14553510,$305.007,$307.7,$300.56
04/16/2021,$306.18,13059160,$308.17,$308.95,$304.61
04/15/2021,$307.82,14558270,$306.34,$310.14,$304.1
04/14/2021,$302.82,17421390,$307.3,$308.03,$301.95
04/13/2021,$309.76,14036930,$312.21,$314.428,$309.32
04/12/2021,$311.54,10881940,$311.05,$312.15,$307.93
04/09/2021,$312.46,15988570,$311.4,$314.74,$310.33
04/08/2021,$313.02,20894150,$314.85,$315.88,$310.05
04/07/2021,$313.09,22855240,$306.34,$314.25,$305.5
04/06/2021,$306.26,17335250,$308.837,$311.35,$305.25
04/05/2021,$308.91,28237010,$300.89,$310.765,$300.68
04/01/2021,$298.66,17615980,$298.4,$302.4,$296.6
03/31/2021,$294.53,19498160,$289.99,$296.5,$288.61
